Id,Nome,Via,CAP,Città,Provincia,Regione,Latitudine,Longitudine,,,,,,,,,,,,,,,,
40,Carrefour Busto Arsizio,"Viale Duca D'Aosta, 19",21052,Busto Arsizio,VA,Lombardia,45.6160657000000,8.85490600000000,,,,,,,,,,,,,,,,
41,Carrefour Varese,Viale Belforte,21100,Varese,VA,Lombardia,45.8228603000000,8.83622090000000,,,,,,,,,,,,,,,,
42,Carrefour Cittiglio,"Via Provinciale, 10",21033,Cittiglio,VA,Lombardia,45.8916267000000,8.67049310000000,,,,,,,,,,,,,,,,
43,Carrefour Poggiridenti,"Via Stazione, 1",23020,Poggiridenti,SO,Lombardia,46.1662132000000,9.93078170000000,,,,,,,,,,,,,,,,
44,Carrefour Moncalieri,Corso Savona 69,10024,Moncalieri,TO,Piemonte,44.9837374054414,7.70599068582741,,,,,,,,,,,,,,,,
45,Carrefour Grugliasco,"Via Crea, 10",10095,Grugliasco,TO,Piemonte,45.0556983115630,7.61389629376715,,,,,,,,,,,,,,,,
46,Carrefour Collegno,"Via Spagna, 10/12",10093,Collegno,TO,Piemonte,45.1009714326203,7.59223125567459,,,,,,,,,,,,,,,,
47,Carrefour Tortona,Via Postumia snc,15057,Tortona,AL,Piemonte,44.8832835493376,8.85706980470870,,,,,,,,,,,,,,,,
48,Carrefour Pinerolo,"Via Giustetto, 43",10064,Pinerolo,TO,Piemonte,44.8838611061323,7.30067770910499,,,,,,,,,,,,,,,,
49,Carrefour Chivasso,"Via Gerbido, 15",10034,Chivasso,TO,Piemonte,45.1855451539577,7.89173584033374,,,,,,,,,,,,,,,,
50,Carrefour Burolo,"Via Liguria, 1",10010,Burolo,TO,Piemonte,45.4690601439496,7.92464087235204,,,,,,,,,,,,,,,,
51,Carrefour Vercelli,"Variante Sud, 13",13100,Vercelli,VC,Piemonte,45.3202764355876,8.39549392509778,,,,,,,,,,,,,,,,
52,Carrefour Novara,Corso Giulio Cesare,28100,Novara,NO,Piemonte,45.4351654656660,8.61763045383457,,,,,,,,,,,,,,,,
53,Carrefour Alba,"Corso Piave, 94",12051,Alba,CN,Piemonte,44.6909846513236,8.02047649930949,,,,,,,,,,,,,,,,
54,Carrefour Cuneo,"Corso IV Novembre, 19",12100,Cuneo,CN,Piemonte,44.3892502484761,7.54094977231481,,,,,,,,,,,,,,,,
55,Carrefour Villafranca d'Asti,"Regione Taverne, 105/C",14018,Villafranca d'Asti,AT,Piemonte,44.9185999261359,8.02445346254409,,,,,,,,,,,,,,,,
